[ 2012-03-23T08:29:33+08:00 ] /www/read/author | INFO: Tag[ route_check ] --START--
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000754s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000843s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | SQL: SHOW COLUMNS FROM `bookclass` [ RunTime:0.014890s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | SQL: SELECT * FROM `bookclass`  [ RunTime:0.000523s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --START--
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Run LocationTemplate Behavior [ RunTime:0.001696s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --END-- [ RunTime:0.001797s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --START--
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Run ParseTemplate Behavior [ RunTime:0.026624s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026731s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --START--
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Run ContentReplace Behavior [ RunTime:0.000561s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Run TokenBuild Behavior [ RunTime:0.000600s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000366s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowRuntime Behavior [ RunTime:0.000614s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002362s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --START--
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowPageTrace Behavior [ RunTime:0.003105s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --END-- [ RunTime:0.003208s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --START--
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Run CheckRoute Behavior [ RunTime:0.002012s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --END-- [ RunTime:0.002162s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001565s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001676s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | SQL: SHOW COLUMNS FROM `bookclass` [ RunTime:0.001930s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | SQL: SELECT * FROM `bookclass`  [ RunTime:0.000329s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --START--
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Run LocationTemplate Behavior [ RunTime:0.001746s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --END-- [ RunTime:0.001838s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --START--
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Run ParseTemplate Behavior [ RunTime:0.024499s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024608s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --START--
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Run ContentReplace Behavior [ RunTime:0.001181s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Run TokenBuild Behavior [ RunTime:0.001834s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000972s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowRuntime Behavior [ RunTime:0.001246s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005508s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --START--
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowPageTrace Behavior [ RunTime:0.003957s ]
[ 2012-03-23T08:30:57+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --END-- [ RunTime:0.004062s ]
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --START--
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | INFO: Run CheckRoute Behavior [ RunTime:0.001134s ]
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --END-- [ RunTime:0.001270s ]
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001411s ]
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001510s ]
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | SQL: SHOW COLUMNS FROM `bookclass` [ RunTime:0.001955s ]
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | SQL: SELECT * FROM `bookclass`  [ RunTime:0.000523s ]
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --START--
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | INFO: Run LocationTemplate Behavior [ RunTime:0.000639s ]
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --END-- [ RunTime:0.000726s ]
[ 2012-03-23T08:30:58+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --START--
[ 2012-03-23T08:30:59+08:00 ] /www/read/Author/add_Novel | INFO: Run ParseTemplate Behavior [ RunTime:0.012712s ]
[ 2012-03-23T08:30:59+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012818s ]
[ 2012-03-23T08:30:59+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --START--
[ 2012-03-23T08:30:59+08:00 ] /www/read/Author/add_Novel | INFO: Run ContentReplace Behavior [ RunTime:0.000556s ]
[ 2012-03-23T08:30:59+08:00 ] /www/read/Author/add_Novel | INFO: Run TokenBuild Behavior [ RunTime:0.000588s ]
[ 2012-03-23T08:30:59+08:00 ] /www/read/Author/add_Novel | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000350s ]
[ 2012-03-23T08:30:59+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowRuntime Behavior [ RunTime:0.000596s ]
[ 2012-03-23T08:30:59+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002312s ]
[ 2012-03-23T08:30:59+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --START--
[ 2012-03-23T08:30:59+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowPageTrace Behavior [ RunTime:0.003495s ]
[ 2012-03-23T08:30:59+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --END-- [ RunTime:0.003619s ]
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --START--
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | INFO: Run CheckRoute Behavior [ RunTime:0.001408s ]
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --END-- [ RunTime:0.001566s ]
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000753s ]
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000844s ]
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | SQL: SHOW COLUMNS FROM `bookclass` [ RunTime:0.002051s ]
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | SQL: SELECT * FROM `bookclass`  [ RunTime:0.000403s ]
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --START--
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | INFO: Run LocationTemplate Behavior [ RunTime:0.000685s ]
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --END-- [ RunTime:0.000772s ]
[ 2012-03-23T08:31:09+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --START--
[ 2012-03-23T08:31:10+08:00 ] /www/read/Author/add_Novel | INFO: Run ParseTemplate Behavior [ RunTime:0.012915s ]
[ 2012-03-23T08:31:10+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013016s ]
[ 2012-03-23T08:31:10+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --START--
[ 2012-03-23T08:31:10+08:00 ] /www/read/Author/add_Novel | INFO: Run ContentReplace Behavior [ RunTime:0.000552s ]
[ 2012-03-23T08:31:10+08:00 ] /www/read/Author/add_Novel | INFO: Run TokenBuild Behavior [ RunTime:0.000586s ]
[ 2012-03-23T08:31:10+08:00 ] /www/read/Author/add_Novel | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000364s ]
[ 2012-03-23T08:31:10+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowRuntime Behavior [ RunTime:0.000613s ]
[ 2012-03-23T08:31:10+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002338s ]
[ 2012-03-23T08:31:10+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --START--
[ 2012-03-23T08:31:10+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowPageTrace Behavior [ RunTime:0.003112s ]
[ 2012-03-23T08:31:10+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --END-- [ RunTime:0.003215s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --START--
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Run CheckRoute Behavior [ RunTime:0.001910s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --END-- [ RunTime:0.002180s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001578s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001690s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | SQL: SHOW COLUMNS FROM `bookclass` [ RunTime:0.002066s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | SQL: SELECT * FROM `bookclass`  [ RunTime:0.001431s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --START--
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Run LocationTemplate Behavior [ RunTime:0.001763s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_template ] --END-- [ RunTime:0.001860s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --START--
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Run ParseTemplate Behavior [ RunTime:0.016918s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017023s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --START--
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Run ContentReplace Behavior [ RunTime:0.001243s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Run TokenBuild Behavior [ RunTime:0.001229s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001094s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowRuntime Behavior [ RunTime:0.001282s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005158s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --START--
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Run ShowPageTrace Behavior [ RunTime:0.004675s ]
[ 2012-03-23T08:36:19+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ view_end ] --END-- [ RunTime:0.004785s ]
[ 2012-03-23T13:15:54+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --START--
[ 2012-03-23T13:15:54+08:00 ] /www/read/Author/add_Novel | INFO: Run CheckRoute Behavior [ RunTime:0.009414s ]
[ 2012-03-23T13:15:54+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --END-- [ RunTime:0.009570s ]
[ 2012-03-23T13:15:54+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T13:15:54+08:00 ] /www/read/Author/add_Novel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.009622s ]
[ 2012-03-23T13:15:54+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009729s ]
[ 2012-03-23T13:15:54+08:00 ] /www/read/Author/author/login | ERR: (ThinkException) 无法加载模块Author
[ 2012-03-23T22:46:38+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --START--
[ 2012-03-23T22:46:38+08:00 ] /www/read/Author/add_Novel | INFO: Run CheckRoute Behavior [ RunTime:0.008990s ]
[ 2012-03-23T22:46:38+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --END-- [ RunTime:0.009152s ]
[ 2012-03-23T22:46:38+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T22:46:38+08:00 ] /www/read/Author/add_Novel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007763s ]
[ 2012-03-23T22:46:38+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007868s ]
[ 2012-03-23T22:46:38+08:00 ] /www/read/Author/author/login | ERR: (ThinkException) 无法加载模块Author
[ 2012-03-23T22:46:48+08:00 ] /www/read/Author | INFO: Tag[ route_check ] --START--
[ 2012-03-23T22:46:48+08:00 ] /www/read/Author | INFO: Run CheckRoute Behavior [ RunTime:0.001245s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/Author | INFO: Tag[ route_check ] --END-- [ RunTime:0.001385s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/Author | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T22:46:48+08:00 ] /www/read/Author | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000874s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/Author | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000980s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ route_check ] --START--
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Run CheckRoute Behavior [ RunTime:0.001257s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001401s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000852s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000950s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ view_template ] --START--
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Run LocationTemplate Behavior [ RunTime:0.025633s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.025734s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Run ParseTemplate Behavior [ RunTime:0.094637s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.094748s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Run ContentReplace Behavior [ RunTime:0.005869s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Run TokenBuild Behavior [ RunTime:0.006364s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.005178s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Run ShowRuntime Behavior [ RunTime:0.006910s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.024602s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ view_end ] --START--
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.011186s ]
[ 2012-03-23T22:46:48+08:00 ] /www/read/author/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.011295s ]
[ 2012-03-23T22:46:54+08:00 ] /www/read/Author/check | INFO: Tag[ route_check ] --START--
[ 2012-03-23T22:46:54+08:00 ] /www/read/Author/check | INFO: Run CheckRoute Behavior [ RunTime:0.001240s ]
[ 2012-03-23T22:46:54+08:00 ] /www/read/Author/check | INFO: Tag[ route_check ] --END-- [ RunTime:0.001381s ]
[ 2012-03-23T22:46:54+08:00 ] /www/read/Author/check | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T22:46:54+08:00 ] /www/read/Author/check | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000858s ]
