[ 2012-03-31T10:41:07+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ route_check ] --START--
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006087s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ view_end ] --START--
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001532s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001617s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/check | INFO: Tag[ route_check ] --START--
[ 2012-03-31T10:41:34+08:00 ] /www/read/check | INFO: Run CheckRoute Behavior [ RunTime:0.001925s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/check | INFO: Tag[ route_check ] --END-- [ RunTime:0.002068s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/check | INFO: Tag[ app_begin ] --START--
[ 2012-03-31T10:41:34+08:00 ] /www/read/check | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001529s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/check | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001627s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/check | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.054053s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/check | SQL: SELECT `id` FROM `user` WHERE ( `userName` = 'user' ) AND ( `userPass` = 'user' ) AND ( `state` = 1 ) LIMIT 1   [ RunTime:0.003483s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ route_check ] --START--
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Run CheckRoute Behavior [ RunTime:0.001319s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001483s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --START--
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001006s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001121s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.003286s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | SQL: SELECT * FROM `books`  [ RunTime:0.001001s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | SQL: SHOW COLUMNS FROM `booklib` [ RunTime:0.002963s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | SQL: SELECT * FROM `booklib` WHERE ( `userId` = '3' )  [ RunTime:0.000946s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ view_template ] --START--
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002269s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002364s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --START--
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Run ParseTemplate Behavior [ RunTime:0.020580s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020693s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --START--
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Run ContentReplace Behavior [ RunTime:0.001729s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Run TokenBuild Behavior [ RunTime:0.001404s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001157s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001430s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006013s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ view_end ] --START--
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001459s ]
[ 2012-03-31T10:41:34+08:00 ] /www/read/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001546s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ route_check ] --START--
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Run CheckRoute Behavior [ RunTime:0.001466s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ route_check ] --END-- [ RunTime:0.001610s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ app_begin ] --START--
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000863s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000955s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | SQL: SHOW COLUMNS FROM `booklib` [ RunTime:0.002927s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | SQL: SELECT * FROM `booklib` WHERE ( `userId` = '3' )  [ RunTime:0.000938s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.003121s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | SQL: SELECT * FROM `books`  [ RunTime:0.001015s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ view_template ] --START--
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Run LocationTemplate Behavior [ RunTime:0.001566s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ view_template ] --END-- [ RunTime:0.001659s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ view_parse ] --START--
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant contentId - assumed 'contentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant maxContentId - assumed 'maxContentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant contentId - assumed 'contentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 48 行.
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant maxContentId - assumed 'maxContentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 48 行.
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant contentId - assumed 'contentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant maxContentId - assumed 'maxContentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant contentId - assumed 'contentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 48 行.
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant maxContentId - assumed 'maxContentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 48 行.
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Run ParseTemplate Behavior [ RunTime:0.023115s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023193s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ view_filter ] --START--
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Run ContentReplace Behavior [ RunTime:0.000685s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Run TokenBuild Behavior [ RunTime:0.000667s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000494s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Run ShowRuntime Behavior [ RunTime:0.000994s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003092s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ view_end ] --START--
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Run ShowPageTrace Behavior [ RunTime:0.000832s ]
[ 2012-03-31T10:41:43+08:00 ] /www/read/Libary | INFO: Tag[ view_end ] --END-- [ RunTime:0.000914s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ route_check ] --START--
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Run CheckRoute Behavior [ RunTime:0.001616s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001766s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ app_begin ] --START--
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000869s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000963s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | SQL: SHOW COLUMNS FROM `bookcontents` [ RunTime:0.047362s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | SQL: SELECT * FROM `bookcontents` WHERE ( `booksId` = '33' ) AND ( `contentNum` = '1' )  [ RunTime:0.001714s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.007972s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | SQL: SELECT `bookTitle` FROM `books` WHERE ( `id` = '33' ) LIMIT 1   [ RunTime:0.003738s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | SQL: SELECT `contentNum` FROM `bookcontents` WHERE ( `booksId` = '33' ) ORDER BY contentNum desc LIMIT 1   [ RunTime:0.001593s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | SQL: SHOW COLUMNS FROM `booklib` [ RunTime:0.004339s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | SQL: UPDATE `booklib` SET `contentId`='1',`lastTime`='2012-03-31' WHERE ( `userId` = '3' ) AND ( `bookId` = '33' ) [ RunTime:0.001025s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_template ] --START--
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.001594s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001690s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_parse ] --START--
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Run ParseTemplate Behavior [ RunTime:0.015003s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015111s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_filter ] --START--
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Run ContentReplace Behavior [ RunTime:0.000712s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Run TokenBuild Behavior [ RunTime:0.000689s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000470s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000770s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002889s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_end ] --START--
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000867s ]
[ 2012-03-31T10:41:48+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000977s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ route_check ] --START--
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Run CheckRoute Behavior [ RunTime:0.001270s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001405s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ app_begin ] --START--
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000871s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000970s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | SQL: SHOW COLUMNS FROM `bookcontents` [ RunTime:0.003012s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | SQL: SELECT * FROM `bookcontents` WHERE ( `booksId` = '33' ) AND ( `contentNum` = '1' )  [ RunTime:0.001008s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.003094s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | SQL: SELECT `bookTitle` FROM `books` WHERE ( `id` = '33' ) LIMIT 1   [ RunTime:0.001152s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | SQL: SELECT `contentNum` FROM `bookcontents` WHERE ( `booksId` = '33' ) ORDER BY contentNum desc LIMIT 1   [ RunTime:0.000915s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | SQL: SHOW COLUMNS FROM `booklib` [ RunTime:0.003057s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | SQL: UPDATE `booklib` SET `contentId`='1',`lastTime`='2012-03-31' WHERE ( `userId` = '3' ) AND ( `bookId` = '33' ) [ RunTime:0.000934s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_template ] --START--
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000811s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000898s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_parse ] --START--
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Run ParseTemplate Behavior [ RunTime:0.015224s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015345s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_filter ] --START--
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Run ContentReplace Behavior [ RunTime:0.000696s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Run TokenBuild Behavior [ RunTime:0.000685s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000480s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000740s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002840s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_end ] --START--
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000807s ]
[ 2012-03-31T10:41:52+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000889s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ route_check ] --START--
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Run CheckRoute Behavior [ RunTime:0.001332s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ route_check ] --END-- [ RunTime:0.001492s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ app_begin ] --START--
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001056s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001175s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | SQL: SHOW COLUMNS FROM `booklib` [ RunTime:0.003234s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | SQL: SELECT * FROM `booklib` WHERE ( `userId` = '3' )  [ RunTime:0.000948s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.003013s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | SQL: SELECT * FROM `books`  [ RunTime:0.000979s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ view_template ] --START--
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Run LocationTemplate Behavior [ RunTime:0.000739s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ view_template ] --END-- [ RunTime:0.000825s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ view_parse ] --START--
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant contentId - assumed 'contentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant maxContentId - assumed 'maxContentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant contentId - assumed 'contentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 48 行.
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant maxContentId - assumed 'maxContentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 48 行.
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant contentId - assumed 'contentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant maxContentId - assumed 'maxContentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant contentId - assumed 'contentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 48 行.
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant maxContentId - assumed 'maxContentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 48 行.
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Run ParseTemplate Behavior [ RunTime:0.023100s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023177s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ view_filter ] --START--
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Run ContentReplace Behavior [ RunTime:0.000849s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Run TokenBuild Behavior [ RunTime:0.000813s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000503s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Run ShowRuntime Behavior [ RunTime:0.000760s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003180s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ view_end ] --START--
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Run ShowPageTrace Behavior [ RunTime:0.000832s ]
[ 2012-03-31T10:43:31+08:00 ] /www/read/Libary | INFO: Tag[ view_end ] --END-- [ RunTime:0.000916s ]
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | INFO: Tag[ route_check ] --START--
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | INFO: Run CheckRoute Behavior [ RunTime:0.001941s ]
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | INFO: Tag[ route_check ] --END-- [ RunTime:0.002083s ]
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | INFO: Tag[ app_begin ] --START--
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001486s ]
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001591s ]
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | SQL: SHOW COLUMNS FROM `booklib` [ RunTime:0.003038s ]
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | SQL: SELECT * FROM `booklib` WHERE ( `userId` = '3' )  [ RunTime:0.000984s ]
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.003071s ]
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | SQL: SELECT * FROM `books`  [ RunTime:0.001039s ]
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | INFO: Tag[ view_template ] --START--
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | INFO: Run LocationTemplate Behavior [ RunTime:0.002180s ]
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | INFO: Tag[ view_template ] --END-- [ RunTime:0.002274s ]
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | INFO: Tag[ view_parse ] --START--
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant contentId - assumed 'contentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant maxContentId - assumed 'maxContentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant contentId - assumed 'contentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 46 行.
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant maxContentId - assumed 'maxContentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 46 行.
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant contentId - assumed 'contentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
[ 2012-03-31T10:44:54+08:00 ] /www/read/Libary | NOTIC: [8] Use of undefined constant maxContentId - assumed 'maxContentId' 65234d8d0b80c3acd75b9d096e1bc395.php 第 44 行.
