[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ route_check ] --START--
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | INFO: Tag[ route_check ] --START--
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | INFO: Run CheckRoute Behavior [ RunTime:0.001248s ]
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | INFO: Tag[ route_check ] --END-- [ RunTime:0.001387s ]
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000843s ]
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000944s ]
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | SQL: SHOW COLUMNS FROM `bookcontents` [ RunTime:0.004354s ]
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | SQL: SELECT * FROM `bookcontents` WHERE booksId=33 and contentNum=1  [ RunTime:0.003935s ]
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | INFO: Tag[ view_template ] --START--
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | NOTIC: [8] Undefined index:  args ThinkException.class.php 第 80 行.
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | NOTIC: [2] implode() [<a href='function.implode'>function.implode</a>]: Invalid arguments passed ThinkException.class.php 第 80 行.
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ route_check ] --START--
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Run CheckRoute Behavior [ RunTime:0.001448s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001590s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000866s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000966s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.004330s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | SQL: SELECT * FROM `books`  [ RunTime:0.003876s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ view_template ] --START--
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000816s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000912s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --START--
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Run ParseTemplate Behavior [ RunTime:0.021571s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021690s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --START--
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Run ContentReplace Behavior [ RunTime:0.000786s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Run TokenBuild Behavior [ RunTime:0.000685s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000572s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000761s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003243s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ view_end ] --START--
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001091s ]
[ 2012-03-26T17:11:01+08:00 ] /www/read/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001208s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ route_check ] --START--
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Run CheckRoute Behavior [ RunTime:0.001253s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001391s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000853s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000955s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.004362s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | SQL: SELECT * FROM `books`  [ RunTime:0.004363s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ view_template ] --START--
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000728s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000821s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --START--
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Run ParseTemplate Behavior [ RunTime:0.021314s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021432s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --START--
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Run ContentReplace Behavior [ RunTime:0.000742s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Run TokenBuild Behavior [ RunTime:0.000687s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000460s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000751s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002916s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ view_end ] --START--
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.003421s ]
[ 2012-03-26T17:11:31+08:00 ] /www/read/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.003531s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ route_check ] --START--
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Run CheckRoute Behavior [ RunTime:0.001246s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ route_check ] --END-- [ RunTime:0.001386s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000849s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000952s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | SQL: SHOW COLUMNS FROM `bookcontents` [ RunTime:0.004618s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | SQL: SELECT * FROM `bookcontents` WHERE booksId=33 and contentNum=1  [ RunTime:0.004067s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ view_template ] --START--
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Run LocationTemplate Behavior [ RunTime:0.001894s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ view_template ] --END-- [ RunTime:0.002006s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ view_parse ] --START--
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Run ParseTemplate Behavior [ RunTime:0.016474s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016600s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ view_filter ] --START--
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Run ContentReplace Behavior [ RunTime:0.000669s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Run TokenBuild Behavior [ RunTime:0.000672s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000473s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Run ShowRuntime Behavior [ RunTime:0.000748s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002828s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ view_end ] --START--
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Run ShowPageTrace Behavior [ RunTime:0.000779s ]
[ 2012-03-26T17:11:36+08:00 ] /www/read/ebook | INFO: Tag[ view_end ] --END-- [ RunTime:0.000867s ]
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | ERR: (ThinkException) 非法操作id
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | INFO: Tag[ route_check ] --START--
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | INFO: Run CheckRoute Behavior [ RunTime:0.001891s ]
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002033s ]
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001512s ]
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001611s ]
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | NOTIC: [8] Undefined index:  file ThinkException.class.php 第 72 行.
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | NOTIC: [8] Undefined index:  line ThinkException.class.php 第 73 行.
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | NOTIC: [8] Undefined index:  file ThinkException.class.php 第 78 行.
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | NOTIC: [8] Undefined index:  line ThinkException.class.php 第 78 行.
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:13+08:00 ] /www/read/ebook/id/ | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | ERR: (ThinkException) 非法操作bookid
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ route_check ] --START--
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | INFO: Run CheckRoute Behavior [ RunTime:0.001387s ]
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001530s ]
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000843s ]
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000939s ]
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  file ThinkException.class.php 第 72 行.
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  line ThinkException.class.php 第 73 行.
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | NOTIC: [2] file() [<a href='function.file'>function.file</a>]: Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  file ThinkException.class.php 第 78 行.
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  line ThinkException.class.php 第 78 行.
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:30+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | ERR: (ThinkException) 模板不存在[E:/php/htdocs/www/read/Tpl/Home/Ebook/bookid.html]
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ route_check ] --START--
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | INFO: Run CheckRoute Behavior [ RunTime:0.001248s ]
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001388s ]
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000847s ]
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000940s ]
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | SQL: SHOW COLUMNS FROM `bookcontents` [ RunTime:0.004908s ]
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | SQL: SELECT * FROM `bookcontents` WHERE booksId=33 and contentNum=1  [ RunTime:0.003615s ]
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ view_template ] --START--
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  args ThinkException.class.php 第 80 行.
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | NOTIC: [2] implode() [<a href='function.implode'>function.implode</a>]: Invalid arguments passed ThinkException.class.php 第 80 行.
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-26T17:12:52+08:00 ] /www/read/ebook/bookID/ | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-26T17:14:03+08:00 ] /www/read/ebook/bookID/ | ERR: (ThinkException) 模板不存在[E:/php/htdocs/www/read/Tpl/Home/Ebook/bookid.html]
[ 2012-03-26T17:14:03+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ route_check ] --START--
[ 2012-03-26T17:14:03+08:00 ] /www/read/ebook/bookID/ | INFO: Run CheckRoute Behavior [ RunTime:0.001261s ]
[ 2012-03-26T17:14:03+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001400s ]
[ 2012-03-26T17:14:03+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T17:14:03+08:00 ] /www/read/ebook/bookID/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000857s ]
[ 2012-03-26T17:14:03+08:00 ] /www/read/ebook/bookID/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000953s ]
